"","ID","Gender","Certificate","Q27_1","Q27_2","Q27_3","Q27_4","Q27_5","Q27_6","Q27_7","Q27_8","Q27_9","Q27_10","Q27_11","Q27_12","Q27_13","Q27_14","Q27_15"
"389","4768","Male","American Diploma","3: Somewhat true","3: Somewhat true","5: Very true","5: Very true","5: Very true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","5: Very true","5: Very true","2","5: Very true"
"390","4762","Male","American Diploma","3: Somewhat true","3: Somewhat true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","3: Somewhat true","1: Not at all true","5: Very true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true"
"391","4764","Male","American Diploma","4","4","4","5: Very true","4","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","4"
"392","4758","Male","IB","4","3: Somewhat true","5: Very true","5: Very true","5: Very true","1: Not at all true","1: Not at all true","2","1: Not at all true","1: Not at all true","5: Very true","1: Not at all true","4","5: Very true","3: Somewhat true"
"393","4769","Male","American Diploma","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","3: Somewhat true","5: Very true"
"394","4754","Male","American Diploma","5: Very true","5: Very true","5: Very true","4","5: Very true","5: Very true","3: Somewhat true","5: Very true","1: Not at all true","1: Not at all true","5: Very true","5: Very true","5: Very true","5: Very true","4"
"395","4761","Male","American Diploma","4","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","1: Not at all true","1: Not at all true","3: Somewhat true","2","5: Very true","3: Somewhat true","1: Not at all true","2","4"
"396","4756","Male","American Diploma","5: Very true","3: Somewhat true","5: Very true","5: Very true","4","3: Somewhat true","2","1: Not at all true","2","3: Somewhat true","4","3: Somewhat true","3: Somewhat true","1: Not at all true","3: Somewhat true"
"397","4755","Male","American Diploma","5: Very true","3: Somewhat true","4","5: Very true","5: Very true","1: Not at all true","2","2","3: Somewhat true","1: Not at all true","5: Very true","2","5: Very true","5: Very true","2"
"398","4710","Female","American Diploma","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true"
"399","4746","Male","National","1: Not at all true","5: Very true","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","3: Somewhat true","4","3: Somewhat true","3: Somewhat true","4","4","4","3: Somewhat true","4"
"400","4739","Male","National","3: Somewhat true","5: Very true","5: Very true","3: Somewhat true","5: Very true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true"
"401","4754","Male","Other?","1: Not at all true","2","","","","","","","","","","","","",""
"402","4755","Male","National","3: Somewhat true","5: Very true","1: Not at all true","3: Somewhat true","1: Not at all true","5: Very true","3: Somewhat true","3: Somewhat true","5: Very true","1: Not at all true","3: Somewhat true","5: Very true","1: Not at all true","3: Somewhat true","3: Somewhat true"
"403","4742","Male","National","5: Very true","5: Very true","1: Not at all true","4","5: Very true","1: Not at all true","3: Somewhat true","5: Very true","3: Somewhat true","1: Not at all true","3: Somewhat true","5: Very true","3: Somewhat true","1: Not at all true","1: Not at all true"
"404","4750","Male","National","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true","1: Not at all true","1: Not at all true","5: Very true","3: Somewhat true","3: Somewhat true","3: Somewhat true","5: Very true","1: Not at all true","3: Somewhat true","4","5: Very true"
"405","4754","Male","National","3: Somewhat true","3: Somewhat true","4","4","4","3: Somewhat true","3: Somewhat true","5: Very true","4","2","4","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true"
"406","4748","Male","National","5: Very true","5: Very true","4","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true"
"407","4753","Male","National","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true",""
"408","4743","Female","National","5: Very true","3: Somewhat true","1: Not at all true","3: Somewhat true","4","5: Very true","4","3: Somewhat true","4","5: Very true","5: Very true","3: Somewhat true","2","3: Somewhat true","3: Somewhat true"
"409","4760","Female","National","5: Very true","4","4","5: Very true","5: Very true","5: Very true","4","4","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true"
"410","4760","Female","National","4","5: Very true","5: Very true","5: Very true","5: Very true","4","5: Very true","4","5: Very true","4","5: Very true","3: Somewhat true","5: Very true","5: Very true","4"
"411","4767","Male","IB","2","1: Not at all true","3: Somewhat true","4","3: Somewhat true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true","3: Somewhat true","3: Somewhat true","2","4"
"412","4778","Female","IB","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","4","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true"
"413","4777","Male","IB","5: Very true","5: Very true","3: Somewhat true","5: Very true","5: Very true","1: Not at all true","1: Not at all true","1: Not at all true","2","2","1: Not at all true","1: Not at all true","1: Not at all true","2","5: Very true"
