"ID","Gender","Certificate","Age","Age_squared","Age-cubed","PostScore","PreScore","SS_ACC","FM_ACC","CB_ACC (2)","SE_P","PAV","PAp","MG_P","SE_S","TV","MG_S","FM_EFF_Z","SS_EFF_Z","CB_EFF_Z","Avg_EF","Avg-SALES","Avg_PG","Avg_RTc","Avg_EFF","Avg_ACC","FM_RTc_mean","CB_RTc_mean"
4258,"Male","IGCSE (British)",14.48,209.6704,3036.027392,9.0,12.0,100.0,71.88,53.33,-0.07,1.66,1.75,0.21,0.37,0.69,0.39,-1.89,-1.12,-0.43,-1.15,0.48,1.71,2.12,51.13,1.0,2.39,8.37
4268,"Female","IGCSE (British)",13.26,175.8276,2331.4739759999998,12.0,11.0,87.04,99.22,68.75,-0.57,0.3,-0.33,-0.7,-0.58,0.45,0.21,0.21,-0.6,-0.57,-0.32,0.03,-0.01,1.25,103.25,0.87,1.3,11.33
4278,"Male","American Diploma",13.59,184.6881,2509.911279,13.0,10.0,94.44,97.66,60.0,-0.65,-0.93,-0.88,-1.05,-1.35,-1.0,-1.21,2.13,-0.37,0.43,0.73,-1.18,-0.91,1.19,95.21,0.94,0.82,7.21
4286,"Female","IGCSE (British)",12.43,154.5049,1920.4959069999998,12.0,12.0,93.52,100.0,53.57,-0.9,-1.64,-1.46,-0.59,-0.75,-0.95,-0.9,-1.33,-0.27,0.61,-0.33,-0.86,-1.55,1.12,102.13,0.94,2.35,6.15
4880,"Male","IGCSE (British)",15.53,241.18089999999998,3745.5393769999996,16.0,11.0,95.37,98.44,68.75,0.7,-1.34,-0.88,-0.33,0.13,-0.17,0.55,0.46,0.25,1.16,0.62,0.17,-1.11,0.9,106.71,0.95,1.2,6.9
4248,"Female","IGCSE (British)",13.63,185.7769,2532.1391470000003,11.5,9.0,96.7,98.44,75.0,0.45,-0.31,-0.2,0.5,0.74,1.59,1.38,0.7,-0.53,-0.1,0.02,1.24,-0.26,1.33,312.89,0.97,1.13,10.54
4335,"Female","IGCSE (British)",13.31,177.1561,2357.9476910000003,4.5,11.0,85.19,91.41,78.13,-0.6,0.77,0.52,-0.47,-0.22,-0.49,-0.65,1.22,1.35,-0.47,0.7,-0.45,0.64,0.56,199.29,0.85,0.92,12.44
4341,"Male","National",13.57,184.1449,2498.846293,14.0,12.0,88.89,90.63,65.63,0.4,0.84,-0.19,-0.02,0.82,0.31,0.07,1.48,1.76,0.98,1.4,0.4,0.32,0.52,209.79,0.89,0.87,6.87
4430,"Female","IGCSE (British)",14.37,206.49689999999998,2967.360453,14.0,12.0,93.52,98.44,65.63,1.04,-0.28,-0.61,0.63,0.24,-0.16,-0.23,1.92,0.04,1.38,1.11,-0.05,-0.44,0.97,90.5,0.94,0.86,6.27
4447,"Female","American Diploma",15.16,229.8256,3484.156096,12.0,12.0,89.81,94.53,81.25,0.25,0.7,0.08,0.68,0.63,0.61,0.67,0.97,1.03,0.33,0.78,0.64,0.39,0.65,171.38,0.9,1.01,10.05
